,in400,out40,in1000,out1000,in2000,out2000,volume,p_change,turnover,close,inoutspan,in400count,out400count,inout400cout
2017-07-10,55714464.0,44951331.0,44315155.0,34695861.0,35045343.0,26364235.0,1360815.88,1.27,0.8,9.59,10763133.0,323.0,285.0,2.0
2017-07-11,184361337.0,147293844.0,152944468.0,107553777.0,114887544.0,65385814.0,3812086.75,6.88,2.25,10.25,47830626.0,1023.0,1129.0,16.0
2017-07-12,132260367.0,116730473.0,106998197.0,89019641.0,71189711.0,56316344.0,2998844.25,0.88,1.77,10.34,63360520.0,837.0,835.0,30.0
2017-07-13,146486219.0,109624616.0,118848445.0,81155841.0,90027656.0,57071958.0,2994534.5,5.42,1.77,10.9,100222123.0,823.0,778.0,17.0
2017-07-14,66861251.0,63288131.0,49127321.0,44410104.0,30461115.0,28518075.0,1722570.25,0.0,1.02,10.9,103795243.0,494.0,502.0,7.0
2017-07-17,147107326.0,133588334.0,114431524.0,104617622.0,76789300.0,67317287.0,3273123.25,-0.83,1.93,10.81,117314235.0,991.0,919.0,40.0
2017-07-18,93815334.0,96391338.0,70457458.0,71436593.0,50602472.0,50554966.0,2349431.75,2.22,1.39,11.05,114738231.0,647.0,678.0,17.0
2017-07-19,75540611.0,76412656.0,58578964.0,55731561.0,38828827.0,35554472.0,1933075.88,0.36,1.14,11.09,113866186.0,520.0,585.0,17.0
2017-07-20,55782816.0,60486311.0,41018065.0,45029365.0,27918809.0,30047478.0,1537338.5,-1.08,0.91,10.97,109162691.0,408.0,441.0,13.0
2017-07-21,59435916.0,55144441.0,45301320.0,40967786.0,33170019.0,26465091.0,1501020.0,0.74,0.89,10.89,113454166.0,390.0,396.0,8.0
2017-07-24,70189693.0,62405414.0,52437369.0,41314902.0,35492014.0,25309243.0,1692664.5,0.55,1.0,10.95,121238445.0,497.0,528.0,9.0
2017-07-25,76191123.0,79758969.0,56456933.0,58947996.0,38499285.0,39162632.0,1954768.38,0.46,1.16,11.0,117670599.0,531.0,565.0,23.0
2017-07-26,57371178.0,67767142.0,38847282.0,47321543.0,22675849.0,29588210.0,1697412.12,-2.36,1.0,10.74,107274635.0,483.0,553.0,19.0
2017-07-27,42587675.0,42123216.0,28610454.0,24599017.0,16637706.0,11589857.0,1194490.38,-1.4,0.71,10.59,107739094.0,372.0,424.0,6.0
2017-07-28,29987267.0,24812328.0,19617842.0,17566818.0,11079108.0,9588873.0,819195.38,1.42,0.48,10.74,112914033.0,259.0,208.0,3.0
