,in400,out40,in1000,out1000,in2000,out2000,volume,p_change,turnover,close,inoutspan
2017-07-03,14089044.0,18099027.0,4297785.0,8862844.0,943300.0,4258451.0,739926.81,-1.65,1.24,40.49,-4009983.0
2017-07-04,24175905.0,30683968.0,11525771.0,18147093.0,4113835.0,9247585.0,1048293.12,-1.53,1.76,39.87,-10518046.0
2017-07-05,29060856.0,19481582.0,15187784.0,9761192.0,7338684.0,4999320.0,959118.94,3.13,1.61,39.26,-938772.0
2017-07-06,12766726.0,15483709.0,4787223.0,7152856.0,1851668.0,2900221.0,713318.62,-0.15,1.19,39.2,-3655755.0
2017-07-07,15583652.0,13012344.0,7148369.0,6254234.0,3628737.0,2763160.0,669681.38,-2.02,1.12,38.41,-1084447.0
2017-07-10,18947129.0,9956654.0,8959054.0,2455943.0,5823584.0,201300.0,659076.19,1.69,1.1,39.06,7906028.0
2017-07-11,59981911.0,29415923.0,35424628.0,12148636.0,19280724.0,5677138.0,1428060.62,6.32,2.39,41.53,38472016.0
2017-07-12,17068248.0,24678329.0,7304104.0,13189256.0,3320584.0,7339320.0,860734.5,-1.78,1.44,40.79,30861935.0
2017-07-13,9626643.0,6884687.0,3717268.0,1808200.0,1566237.0,377000.0,507538.31,0.54,0.85,41.01,33603891.0
2017-07-14,6925409.0,7707344.0,3559521.0,3831548.0,1609500.0,2011416.0,441473.31,0.17,0.74,41.08,32821956.0
2017-07-17,18428229.0,18401894.0,7407994.0,5768511.0,2355000.0,2461827.0,783226.19,-0.05,1.31,41.06,32848291.0
2017-07-18,11588985.0,19057550.0,3885554.0,9249684.0,822700.0,3415410.0,728729.75,-2.02,1.22,40.23,25379726.0
2017-07-19,13518557.0,19991475.0,4272041.0,9193970.0,1795429.0,4956427.0,789621.69,-0.6,1.32,39.99,18906808.0
2017-07-20,27181295.0,14748330.0,13886102.0,4294456.0,6922104.0,1214500.0,913578.81,2.63,1.53,41.04,31339773.0
2017-07-21,8299090.0,10597402.0,4030978.0,5224143.0,1506620.0,1489900.0,523515.81,-0.8,0.88,40.71,29041461.0
