,in400,out40,in1000,out1000,in2000,out2000,volume,p_change,turnover,close,inoutspan,,,
2017-7-4,24175905,30683968,11525771,18147093,4113835,9247585,1048293.12,-1.53,1.76,39.87,-6508063,-6508063,-6621322,-5133750
2017-7-5,29060856,19481582,15187784,9761192,7338684,4999320,959118.94,3.13,1.61,39.26,3071211,9579274,5426592,2339364
2017-7-6,12766726,15483709,4787223,7152856,1851668,2900221,713318.62,-0.15,1.19,39.2,354228,-2716983,-2365633,-1048553
2017-7-7,15583652,13012344,7148369,6254234,3628737,2763160,669681.38,-2.02,1.12,38.41,2925536,2571308,894135,865577
2017-7-10,18947129,9956654,8959054,2455943,5823584,201300,659076.19,1.69,1.1,39.06,11916011,8990475,6503111,5622284
2017-7-11,59981911,29415923,35424628,12148636,19280724,5677138,1428060.62,6.32,2.39,41.53,42481999,30565988,23275992,13603586
2017-7-12,17068248,24678329,7304104,13189256,3320584,7339320,860734.5,-1.78,1.44,40.79,34871918,-7610081,-5885152,-4018736
2017-7-13,9626643,6884687,3717268,1808200,1566237,377000,507538.31,0.54,0.85,41.01,37613874,2741956,1909068,1189237
2017-7-14,6925409,7707344,3559521,3831548,1609500,2011416,441473.31,0.17,0.74,41.08,36831939,-781935,-272027,-401916
2017-7-17,18428229,18401894,7407994,5768511,2355000,2461827,783226.19,-0.05,1.31,41.06,36858274,26335,1639483,-106827
2017-7-18,11588985,19057550,3885554,9249684,822700,3415410,728729.75,-2.02,1.22,40.23,29389709,-7468565,-5364130,-2592710
2017-7-19,13518557,19991475,4272041,9193970,1795429,4956427,789621.69,-0.6,1.32,39.99,22916791,-6472918,-4921929,-3160998
2017-7-20,27181295,14748330,13886102,4294456,6922104,1214500,913578.81,2.63,1.53,41.04,35349756,12432965,9591646,5707604
2017-7-21,8299090,10597402,4030978,5224143,1506620,1489900,523515.81,-0.8,0.88,40.71,33051444,-2298312,-1193165,16720
2017-7-24,18588993,13330852,9951775,3402000,5964005,1390800,754138.88,1.45,1.26,41.3,38309585,5258141,6549775,4573205
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,p_change,inout,,,,,,,,,,,,
2017-7-4,-1.53,-6508063,,,,,,,,,,,,
2017-7-5,3.13,9579274,,,,,,,,,,,,
2017-7-6,-0.15,-2716983,,,,,,,,,,,,
2017-7-7,-2.02,2571308,,,,,,,,,,,,
2017-7-10,1.69,8990475,,,,,,,,,,,,
2017-7-11,6.32,30565988,,,,,,,,,,,,
2017-7-12,-1.78,-7610081,,,,,,,,,,,,
2017-7-13,0.54,2741956,,,,,,,,,,,,
2017-7-14,0.17,-781935,,,,,,,,,,,,
2017-7-17,-0.05,26335,,,,,,,,,,,,
2017-7-18,-2.02,-7468565,,,,,,,,,,,,
2017-7-19,-0.6,-6472918,,,,,,,,,,,,
2017-7-20,2.63,12432965,,,,,,,,,,,,
2017-7-21,-0.8,-2298312,,,,,,,,,,,,
2017-7-24,1.45,5258141,,,,,,,,,,,,
