,in400,out40,in1000,out1000,in2000,out2000,volume,p_change,turnover,close,inoutspan,,,,
2017-7-4,38630304,43979843,19637802,23790332,6875216,11961409,1309583.75,-2.97,7.62,14.39,-5349539,,29.49815466,14.99545333,5.249924642
2017-7-5,78285865,64199121,52392371,39688975,33679316,22473956,1948005.5,8.06,11.33,15.55,8737205,,40.18770224,26.89539172,17.28912778
2017-7-6,73789176,63626746,42967061,36761047,21419343,14757416,1936795.62,4.31,11.27,16.22,18899635,,38.09858678,22.18461285,11.05916534
2017-7-7,78372189,59169072,53525694,36033588,35113765,17989333,1811256.62,9.99,10.54,17.84,38102752,,43.26951142,29.55168992,19.38641086
2017-7-10,101115980,91570520,74000893,66199131,49281772,42598124,2481272.75,5.44,14.43,18.81,47648212,,40.7516586,29.82376403,19.86148923
2017-7-11,80808967,72331437,55172645,47850989,31321285,27832067,2098638.5,-1.97,12.21,18.44,56125742,,38.50542483,26.28973261,14.92457372
2017-7-12,83242060,77217425,55209006,51763334,33342185,32163898,2126115.5,5.64,12.37,19.48,62150377,,39.15218153,25.96707752,15.68220776
2017-7-13,119330436,113600735,93180649,86632889,61491648,57708720,2896869.5,-4.47,16.85,18.61,67880078,,41.19289322,32.1659809,21.22693066
2017-7-14,77400219,69456564,55495540,47569903,34846780,28563872,1930050.38,3.22,11.23,19.21,75823733,,40.10269359,28.75341523,18.05485513
2017-7-17,76477734,81752217,47464857,56148681,25405700,34991887,2168751.25,1.09,12.62,19.42,70549250,,35.26348815,21.88580041,11.71443705
2017-7-18,105617441,74339386,73592710,45909108,44604643,21919281,2361479.25,9.94,13.74,21.35,101827305,,44.72511922,31.16381819,18.88843317
2017-7-19,89327409,90542155,58611962,60311094,35245137,33040770,2418913,8.81,14.07,23.23,100612559,,36.92873989,24.2307028,14.57065095
2017-7-20,69451047,74619093,40157560,46501624,19809107,24107234,2039799.5,2.45,11.87,23.8,95444513,,34.04797726,19.68701336,9.711301037
2017-7-21,45094469,44391989,24771385,24408329,11371108,10987543,1409481.25,-0.97,8.2,23.57,96146993,,31.99366363,17.57482407,8.06758373
2017-7-24,78550502,63370817,51157922,42224142,32644841,22834372,1969114,10.01,11.45,25.93,111326678,,39.89129223,25.98017281,16.57844137
