,in400,out40,in1000,out1000,in2000,out2000,volume,p_change,turnover,close,inoutspan
2017-07-04,2408648.0,2512499.0,496894.0,1172300.0,0.0,0.0,142174.27,0.12,2.09,8.5,-103851.0
2017-07-05,1495070.0,1387282.0,489100.0,100000.0,0.0,0.0,106213.55,-0.23,1.56,8.48,3937.0
2017-07-06,2117220.0,2883303.0,975561.0,1373002.0,687600.0,211800.0,155113.23,-0.35,2.28,8.45,-762146.0
2017-07-07,4811657.0,4390160.0,1427322.0,2045700.0,491722.0,829600.0,228113.45,3.9,3.36,8.78,-340649.0
2017-07-10,12862404.0,17120322.0,8192489.0,9778679.0,4631865.0,5067244.0,520091.0,1.02,7.66,8.87,-4598567.0
2017-07-11,3557012.0,4877103.0,1700700.0,2407848.0,0.0,952200.0,215566.11,-3.04,3.17,8.6,-5918658.0
2017-07-12,3655400.0,4578288.0,1919800.0,2354700.0,726000.0,1646000.0,205869.27,-1.05,3.03,8.51,-6841546.0
2017-07-13,2680667.0,3219604.0,824415.0,910385.0,0.0,562500.0,204248.44,-0.23,3.01,8.49,-7380483.0
2017-07-14,2186320.0,2137960.0,765000.0,649400.0,0.0,0.0,145123.3,-0.71,2.14,8.43,-7332123.0
2017-07-17,1536532.0,2950536.0,445466.0,678134.0,0.0,0.0,170664.27,-4.63,2.51,8.04,-8746127.0
2017-07-18,1841616.0,1222437.0,696800.0,232900.0,0.0,0.0,110552.45,2.24,1.63,8.22,-8126948.0
2017-07-19,8210881.0,4887629.0,3743621.0,1821606.0,1801954.0,752306.0,315827.06,6.08,4.65,8.72,-4803696.0
2017-07-20,4711441.0,5223819.0,1714100.0,2560486.0,274600.0,1758920.0,259631.42,1.26,3.82,8.83,-5316074.0
2017-07-21,2081534.0,2933904.0,564334.0,1253800.0,0.0,0.0,174956.41,0.23,2.58,8.85,-6168444.0
2017-07-24,18410380.0,11485356.0,8180642.0,4398737.0,3591500.0,1740600.0,584437.19,8.25,8.6,9.58,756580.0
