,code,name,time,price,volume,preprice,type,,,,,,,code,name,time,price,volume,preprice,type,,
0,600516,·½´óÌ¿ËØ,14:59:59,18.64,58200,18.63,ÂòÅÌ,1084266,,,,,1,600516,·½´óÌ¿ËØ,14:59:56,18.63,92800,18.68,ÂôÅÌ,1733504,
2,600516,·½´óÌ¿ËØ,14:59:53,18.68,148000,18.62,ÂòÅÌ,2755760,,,,,4,600516,·½´óÌ¿ËØ,14:59:44,18.61,79300,18.63,ÂôÅÌ,1477359,
3,600516,·½´óÌ¿ËØ,14:59:47,18.64,55800,18.61,ÂòÅÌ,1038438,,,,,6,600516,·½´óÌ¿ËØ,14:59:38,18.6,194773,18.6,ÂôÅÌ,3622777.8,
5,600516,·½´óÌ¿ËØ,14:59:41,18.63,757300,18.6,ÂòÅÌ,14085780,,,,,7,600516,·½´óÌ¿ËØ,14:59:35,18.6,103860,18.61,ÂôÅÌ,1932834.6,
8,600516,·½´óÌ¿ËØ,14:59:32,18.61,741540,18.6,ÂòÅÌ,13792644,,,,,14,600516,·½´óÌ¿ËØ,14:59:14,18.57,149000,18.59,ÂôÅÌ,2769910,
9,600516,·½´óÌ¿ËØ,14:59:29,18.6,198600,18.6,ÂòÅÌ,3693960,,,,,19,600516,·½´óÌ¿ËØ,14:58:56,18.6,82427,18.6,ÂôÅÌ,1533142.2,
10,600516,·½´óÌ¿ËØ,14:59:26,18.6,122900,18.58,ÂòÅÌ,2283482,,,,,20,600516,·½´óÌ¿ËØ,14:58:53,18.6,174900,18.6,ÂôÅÌ,3253140,
11,600516,·½´óÌ¿ËØ,14:59:23,18.58,82400,18.58,ÂòÅÌ,1530992,,,,,21,600516,·½´óÌ¿ËØ,14:58:50,18.6,195500,18.61,ÂôÅÌ,3638255,
12,600516,·½´óÌ¿ËØ,14:59:20,18.58,145600,18.58,ÂòÅÌ,2705248,,,,,24,600516,·½´óÌ¿ËØ,14:58:41,18.61,67000,18.62,ÂôÅÌ,1247540,
13,600516,·½´óÌ¿ËØ,14:59:17,18.58,144700,18.57,ÂòÅÌ,2687079,,,,,27,600516,·½´óÌ¿ËØ,14:58:29,18.62,131000,18.63,ÂôÅÌ,2440530,
15,600516,·½´óÌ¿ËØ,14:59:11,18.59,79500,18.58,ÂòÅÌ,1477110,,,,,31,600516,·½´óÌ¿ËØ,14:58:14,18.63,404100,18.65,ÂôÅÌ,7536465,
16,600516,·½´óÌ¿ËØ,14:59:05,18.58,74900,18.58,ÂòÅÌ,1391642,,,,,35,600516,·½´óÌ¿ËØ,14:58:02,18.63,55000,18.65,ÂôÅÌ,1025750,
18,600516,·½´óÌ¿ËØ,14:58:59,18.6,184900,18.6,ÂòÅÌ,3439140,,,,,37,600516,·½´óÌ¿ËØ,14:57:56,18.65,93700,18.64,ÂôÅÌ,1746568,
22,600516,·½´óÌ¿ËØ,14:58:47,18.61,59300,18.61,ÂòÅÌ,1103573,,,,,38,600516,·½´óÌ¿ËØ,14:57:53,18.64,81600,18.65,ÂôÅÌ,1521840,
23,600516,·½´óÌ¿ËØ,14:58:44,18.61,197500,18.61,ÂòÅÌ,3675475,,,,,39,600516,·½´óÌ¿ËØ,14:57:50,18.65,80500,18.67,ÂôÅÌ,1502935,
26,600516,·½´óÌ¿ËØ,14:58:32,18.63,42500,18.62,ÂòÅÌ,791350,,,,,40,600516,·½´óÌ¿ËØ,14:57:40,18.65,51140,18.66,ÂôÅÌ,954272.4,
28,600516,·½´óÌ¿ËØ,14:58:26,18.63,40642,18.63,ÂòÅÌ,757160.46,,,,,43,600516,·½´óÌ¿ËØ,14:57:28,18.68,83500,18.69,ÂôÅÌ,1560615,
29,600516,·½´óÌ¿ËØ,14:58:23,18.63,63800,18.61,ÂòÅÌ,1187318,,,,,44,600516,·½´óÌ¿ËØ,14:57:25,18.69,76500,18.7,ÂôÅÌ,1430550,
30,600516,·½´óÌ¿ËØ,14:58:17,18.63,40300,18.63,ÂòÅÌ,750789,,,,,45,600516,·½´óÌ¿ËØ,14:57:19,18.68,46300,18.71,ÂôÅÌ,866273,
32,600516,·½´óÌ¿ËØ,14:58:11,18.65,84880,18.65,ÂòÅÌ,1583012,,,,,47,600516,·½´óÌ¿ËØ,14:57:13,18.7,75300,18.71,ÂôÅÌ,1408863,
33,600516,·½´óÌ¿ËØ,14:58:08,18.65,127700,18.64,ÂòÅÌ,2380328,,,,,48,600516,·½´óÌ¿ËØ,14:57:10,18.71,110600,18.72,ÂôÅÌ,2070432,
36,600516,·½´óÌ¿ËØ,14:57:59,18.65,86451,18.65,ÂòÅÌ,1612311.15,,,,,49,600516,·½´óÌ¿ËØ,14:57:04,18.71,52800,18.71,ÂôÅÌ,987888,
41,600516,·½´óÌ¿ËØ,14:57:34,18.69,180400,18.69,ÂòÅÌ,3371676,,,,,51,600516,·½´óÌ¿ËØ,14:56:49,18.7,55200,18.7,ÂôÅÌ,1032240,
42,600516,·½´óÌ¿ËØ,14:57:31,18.69,114800,18.68,ÂòÅÌ,2144464,,,,,53,600516,·½´óÌ¿ËØ,14:56:43,18.65,169995,18.68,ÂôÅÌ,3175506.6,
46,600516,·½´óÌ¿ËØ,14:57:16,18.71,426700,18.7,ÂòÅÌ,7979290,,,,,55,600516,·½´óÌ¿ËØ,14:56:34,18.66,62600,18.66,ÂôÅÌ,1168116,
50,600516,·½´óÌ¿ËØ,14:56:55,18.7,55460,18.69,ÂòÅÌ,1036547.4,,,,,56,600516,·½´óÌ¿ËØ,14:56:31,18.66,185900,18.66,ÂôÅÌ,3468894,
52,600516,·½´óÌ¿ËØ,14:56:46,18.7,126500,18.65,ÂòÅÌ,2359225,,,,,57,600516,·½´óÌ¿ËØ,14:56:28,18.66,53100,18.66,ÂôÅÌ,990846,
58,600516,·½´óÌ¿ËØ,14:56:25,18.66,81500,18.62,ÂòÅÌ,1517530,,,,,59,600516,·½´óÌ¿ËØ,14:56:19,18.62,113500,18.64,ÂôÅÌ,2115640,
60,600516,·½´óÌ¿ËØ,14:56:16,18.64,134800,18.6,ÂòÅÌ,2507280,,,,,61,600516,·½´óÌ¿ËØ,14:56:13,18.6,54820,18.62,ÂôÅÌ,1020748.4,
