date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover
2017-07-25,25.5,28.17,27.49,24.42,2390651.0,1.56,6.02,24.804,22.209,18.965,2045591.75,2171122.46,1930573.92,13.91
2017-07-24,23.89,25.93,25.93,23.77,1969114.0,2.36,10.01,23.576,21.304,18.243,2039757.4,2141921.21,1871703.87,11.45
2017-07-21,23.6,24.49,23.57,23.38,1409481.25,-0.23,-0.97,22.274,20.592,17.601,2079684.85,2193137.09,1841020.78,8.2
2017-07-20,23.1,24.83,23.8,23.1,2039799.5,0.57,2.45,21.402,20.019,17.018,2183798.68,2233314.63,1822856.03,11.87
2017-07-19,21.21,23.49,23.23,20.99,2418913.0,1.88,8.81,20.364,19.261,16.387,2355212.68,2223014.24,1749552.31,14.07
2017-07-18,19.11,21.36,21.35,18.8,2361479.25,1.93,9.94,19.614,18.493,15.794,2296653.18,2175923.49,1649262.6,13.74
2017-07-17,19.09,20.25,19.42,17.85,2168751.25,0.21,1.09,19.032,17.797,15.292,2244085.03,2070733.94,1556083.19,12.62
2017-07-14,18.72,19.25,19.21,18.37,1930050.38,0.6,3.22,18.91,17.338,14.891,2306589.33,1984277.16,1482130.97,11.23
2017-07-13,20.29,20.5,18.61,18.44,2896869.5,-0.87,-4.47,18.636,16.839,14.486,2282830.57,1959386.44,1416032.33,16.85
2017-07-12,18.99,19.53,19.48,18.59,2126115.5,1.04,5.64,18.158,16.337,14.109,2090815.8,1774245.29,1310307.41,12.37
2017-07-11,18.99,19.59,18.44,18.2,2098638.5,-0.37,-1.97,17.372,15.721,13.669,2055193.8,1690025.37,1249613.97,12.21
2017-07-10,18.83,19.5,18.81,18.21,2481272.75,0.97,5.44,16.562,15.182,13.277,1897382.85,1601486.53,1172196.22,14.43
2017-07-07,16.35,17.84,17.84,16.28,1811256.62,1.62,9.99,15.766,14.61,12.856,1661965.0,1488904.48,1086150.04,10.54
2017-07-06,15.4,16.62,16.22,15.37,1936795.62,0.67,4.31,15.042,14.016,12.504,1635942.3,1412397.43,1024818.22,11.27
2017-07-05,14.72,15.83,15.55,14.59,1948005.5,1.16,8.06,14.516,13.513,12.232,1457674.79,1276090.37,945265.6,11.33
2017-07-04,14.65,14.96,14.39,14.32,1309583.75,-0.44,-2.97,14.07,13.095,11.995,1324856.94,1122601.71,877511.56,7.62
2017-07-03,14.3,14.85,14.83,14.06,1304183.5,0.61,4.29,13.802,12.786,11.815,1305590.21,1041432.45,832597.06,7.59
2017-06-30,13.66,14.88,14.22,13.61,1681143.12,0.63,4.64,13.454,12.443,11.611,1315843.96,979984.78,792605.94,9.78
2017-06-29,13.32,13.6,13.59,13.09,1045458.06,0.27,2.03,12.99,12.133,11.431,1188852.56,872678.23,728894.03,6.08
2017-06-28,13.15,13.63,13.32,12.96,1283916.25,0.27,2.07,12.51,11.88,11.273,1094505.96,846369.53,702573.18,7.47
2017-06-27,13.3,13.42,13.05,12.85,1213250.12,-0.04,-0.31,12.12,11.617,11.142,920346.49,809202.57,669934.93,7.06
2017-06-26,12.05,13.09,13.09,12.0,1355452.25,1.19,10.0,11.77,11.371,11.012,777274.68,742905.9,634865.7,7.88
2017-06-23,11.44,12.18,11.9,11.38,1046186.12,0.71,6.34,11.432,11.102,10.887,644125.61,683395.6,606436.53,6.09
2017-06-22,11.42,11.57,11.19,11.16,573725.06,-0.18,-1.58,11.276,10.991,10.819,556503.91,637239.01,599299.03,3.34
2017-06-21,11.33,11.46,11.37,11.26,413118.91,0.07,0.62,11.25,10.951,10.758,598233.09,614440.82,599117.5,2.4
2017-06-20,11.4,11.44,11.3,11.21,497891.06,-0.1,-0.88,11.114,10.894,10.686,698058.65,632421.4,600125.23,2.9
2017-06-19,11.17,11.42,11.4,11.09,689706.88,0.28,2.52,10.972,10.843,10.622,708537.13,623761.68,597406.25,4.01
2017-06-16,11.21,11.25,11.12,10.95,608077.62,0.06,0.54,10.772,10.778,10.561,722665.6,605227.1,598540.67,3.54
2017-06-15,10.72,11.19,11.06,10.71,782371.0,0.37,3.46,10.706,10.728,10.505,717974.11,585109.84,593228.27,4.55
2017-06-14,10.86,11.13,10.69,10.66,912246.69,0.1,0.94,10.652,10.666,10.461,630648.55,558776.84,586416.76,5.31
2017-06-13,10.4,10.62,10.59,10.34,550283.44,0.19,1.83,10.674,10.666,10.424,566784.15,530667.29,565726.49,3.2
2017-06-12,10.69,10.83,10.4,10.37,760349.25,-0.39,-3.61,10.714,10.653,10.397,538986.24,526825.5,576330.28,4.42
2017-06-09,10.85,11.05,10.79,10.67,584620.19,0.0,0.0,10.784,10.672,10.373,487788.6,529477.45,587392.22,3.4
2017-06-08,10.85,10.89,10.79,10.71,345743.19,-0.01,-0.09,10.75,10.647,10.306,452245.56,561359.05,580443.18,2.01
2017-06-07,10.71,10.83,10.8,10.66,592924.69,0.01,0.09,10.68,10.565,10.259,486905.12,583794.17,587879.19,3.45
2017-06-06,10.75,10.88,10.79,10.55,411293.88,0.04,0.37,10.658,10.478,10.209,494550.43,567829.06,589617.82,2.39
2017-06-05,10.63,10.93,10.75,10.51,504361.03,0.13,1.22,10.592,10.401,10.151,514664.76,571050.82,593560.03,2.93
2017-06-02,10.5,10.72,10.62,10.33,406905.0,0.2,1.92,10.56,10.343,10.096,571166.3,591854.24,599195.04,2.37
2017-06-01,10.65,10.74,10.44,10.31,519041.0,-0.25,-2.34,10.544,10.281,10.057,670472.55,601346.7,625861.21,3.02
