,code,name,changepercent,trade,open,high,low,settlement,volume,turnoverratio,amount,per,pb,mktcap,nmc
0,603999,读者传媒,3.644,10.24,9.9,10.66,9.83,9.88,10335184.0,4.48576,106318604.0,35.31,1.779,589824.0,235929.6
1,603998,方盛制药,0.307,13.08,13.0,13.09,12.99,13.04,1093783.0,0.40634000000000003,14274490.0,81.75,5.985,563664.90276,352083.80376
2,603997,继峰股份,1.237,12.28,12.11,12.29,12.11,12.13,2392588.0,1.39917,29269850.0,20.814,3.217,773640.0,209988.0
3,603996,中新科技,0.119,16.83,16.77,16.97,16.75,16.81,1111345.0,1.0761,18724350.0,43.154,3.702,505152.45,173811.825
4,603993,洛阳钼业,2.288,6.26,6.13,6.32,6.06,6.12,140336026.0,1.08336,874074933.0,104.333,5.468,13521124.604958,8109035.417574
5,603991,至正股份,-1.219,34.84,34.52,34.98,34.4,35.27,2446500.0,13.08289,85052194.0,52.0,6.035,259679.933032,65150.8
6,603990,麦迪科技,4.184,35.36,34.01,36.28,33.9,33.94,1242195.0,6.21098,43787735.0,47.147,7.251,286166.0048,70720.0
7,603989,艾华集团,0.766,36.81,36.37,36.88,36.22,36.53,1348085.0,1.59773,49184327.0,41.83,5.943,1104300.0,310584.375
8,603988,中电电机,1.065,67.35,66.37,67.46,65.8,66.64,275835.0,1.2314100000000001,18544191.0,224.5,8.226,538800.0,150864.0
9,603987,康德莱,-1.412,15.36,15.19,15.44,15.05,15.58,3523631.0,4.46595,53937542.0,24.774,2.777,484508.16,121190.4
10,603986,兆易创新,4.691,73.43,70.14,74.58,70.05,70.14,3064653.0,2.07991,223878749.0,34.684,5.456,1488381.997942,1081956.90505
11,603985,恒润股份,-0.695,41.45,41.79,42.45,40.04,41.74,1136600.0,5.683,47928367.0,26.257,5.418,331600.0,82900.0
12,603980,吉华集团,0.886,22.77,22.57,22.81,22.51,22.57,5087213.0,5.08721,115279285.0,23.818,4.465,1138500.0,227700.0
13,603979,金诚信,-0.074,13.48,13.47,13.55,13.39,13.49,2796380.0,1.15001,37570510.0,32.095,1.615,788580.0,327780.11136
14,603978,深圳新星,4.132,51.92,49.88,51.98,49.6,49.86,3923214.0,19.61607,200125025.0,23.493,4.554,415360.0,103840.0
15,603977,国泰集团,1.767,16.7,16.4,16.75,16.35,16.41,2574840.0,4.6578100000000004,42819049.0,28.305,3.705,369203.6,92317.6
16,603969,银龙股份,0.678,19.3,19.1,19.36,18.86,19.17,10107466.0,6.62218,192707144.0,53.611,4.92,772000.0,294576.865
17,603968,醋化股份,0.385,26.07,26.06,26.15,25.72,25.97,2304700.0,1.68719,59853350.0,36.208,4.061,533079.36,356116.2
18,603966,法兰泰克,1.094,19.4,19.21,19.54,19.2,19.19,1647465.0,4.11866,31943439.0,41.277,3.973,310400.0,77600.0
19,603960,克来机电,1.033,29.35,29.06,29.4,28.86,29.05,553526.0,2.12895,16147849.0,48.917,5.692,305240.0,76310.0
20,603959,百利科技,0.385,20.87,20.45,20.99,20.45,20.79,740301.0,0.7210200000000001,15473852.0,39.377,5.287,467488.0,214279.646675
21,603958,哈森股份,0.652,21.6,21.3,21.87,21.2,21.46,6109494.0,9.25695,131470633.0,51.064,3.883,469497.6,142557.83136
22,603955,大千生态,4.263,38.89,37.32,38.97,37.3,37.3,1063425.0,4.88931,40790821.0,36.428,3.437,338343.0,84585.75
23,603939,益丰药房,3.762,35.3,34.02,35.38,33.51,34.02,2209826.0,1.11213,76835757.0,53.243,4.256,1280312.14274,701420.38274
24,603938,三孚股份,4.394,24.47,23.45,24.56,23.45,23.44,5102719.0,13.58674,123288818.0,33.986,5.021,367457.6702,91901.0002
25,603936,博敏电子,1.871,27.22,26.8,27.66,26.65,26.72,1442031.0,2.5704700000000003,39154546.0,85.329,4.742,455526.7,152704.2
26,603933,睿能科技,6.94,48.54,45.48,49.31,45.44,45.39,5207846.0,20.28767,247647302.0,40.007,5.415,498360.18,124602.18
27,603929,亚翔集成,5.396,20.51,20.31,21.01,20.18,19.46,4848378.0,9.08617,99880011.0,19.913,4.681,437601.36,109441.36
28,603928,兴业股份,1.554,16.99,16.7,17.09,16.7,16.73,1949735.0,3.86852,32936278.0,24.985,3.265,342518.4,85629.6
29,603926,铁流股份,4.921,32.62,31.11,32.95,30.47,31.09,4172411.0,13.90804,131277269.0,26.306,3.528,391440.0,97860.0
30,603920,世运电路,1.316,20.02,19.81,20.1,19.74,19.76,3262402.0,3.67388,65031126.0,23.553,6.5,804403.6,177777.6
31,603919,金徽酒,-0.57,20.92,20.93,21.22,20.45,21.04,3233772.0,2.79162,67058398.0,24.612,4.437,761488.0,242334.0374
32,603918,金桥信息,0.728,22.14,22.07,22.17,21.87,21.98,690457.0,0.55978,15207278.0,138.375,7.8950000000000005,392597.55,273083.616
33,603909,合诚股份,-0.43,30.11,30.38,30.88,29.73,30.24,1931987.0,7.72795,58259135.0,45.545,5.04,301100.0,75275.0
34,603908,牧高笛,1.669,42.02,41.49,42.06,41.12,41.33,480800.0,2.88077,20087780.0,44.232,6.277,280231.38,70131.38
35,603906,龙蟠科技,1.702,18.52,18.2,18.59,18.18,18.21,1698998.0,3.2673,31303203.0,32.491,3.414,385216.0,96304.0
36,603903,中持股份,-1.249,45.08,44.39,45.18,43.57,45.65,4484770.0,17.51213,199460377.0,73.902,6.995,461790.504,115447.626
37,603901,永创智能,0.906,11.14,11.1,11.2,11.05,11.04,2262635.0,1.46924,25199527.0,50.636,4.881,445600.0,171556.0
38,603900,通灵珠宝,0.879,31.0,30.8,31.12,30.77,30.73,1368101.0,2.25021,42361397.0,26.271,3.532,753906.36,188476.59
39,603899,晨光文具,3.483,18.42,17.8,18.89,17.8,17.8,3829160.0,1.7094500000000001,70547454.0,34.378,6.809,1694640.0,412608.0
40,603898,好莱客,0.654,32.31,32.06,32.38,31.6,32.1,1658021.0,1.86286,53073068.0,37.57,7.93,1027840.182066,287571.924
41,603896,寿仙谷,2.854,33.88,33.02,34.5,33.02,32.94,2965954.0,8.48628,99776188.0,44.0,7.986,473642.4,118410.6
42,603889,新澳股份,0.362,13.88,13.9,13.94,13.77,13.83,1158308.0,0.81605,16021663.0,27.76,3.681,546387.682384,197014.3162
43,603888,新华网,1.874,29.36,29.0,29.5,28.95,28.82,1629539.0,1.25584,47677164.0,17.271,2.498,1523870.20096,380967.55024
44,603887,城地股份,1.304,31.86,31.68,31.96,31.47,31.45,412000.0,1.6748,13070637.0,46.174,4.476,312546.6,78375.6
45,603886,元祖股份,0.949,21.27,21.03,21.44,21.0,21.07,1579200.0,2.63214,33616593.0,30.826,5.001,510480.0,127613.289315
46,603885,吉祥航空,-0.923,15.02,15.14,15.45,14.84,15.16,6257469.0,1.16524,94712716.0,14.725,2.395,2699114.242454,806594.242454
47,603883,老百姓,0.772,48.32,48.0,48.5,47.81,47.95,1014927.0,1.20648,48972454.0,43.532,6.57,1290144.0,406483.500512
48,603881,数据港,2.964,46.2,44.75,46.77,44.75,44.87,5162801.0,9.80589,237126669.0,92.4,11.625,972909.66696,243243.0
49,603880,南卫股份,7.855,29.52,26.94,29.98,26.8,27.37,11192758.0,44.77103,317259183.0,42.783,8.76,295200.0,73800.0
50,603879,永悦科技,3.267,17.07,16.53,17.08,16.53,16.53,3279646.0,9.11013,55379704.0,38.795,4.947,245808.0,61452.0
51,603878,武进不锈,1.698,22.76,22.4,22.87,22.38,22.38,1988525.0,3.9376700000000002,45100547.0,28.81,2.358,459752.0,114938.0
52,603877,太平鸟,1.089,25.07,24.65,25.17,24.65,24.8,1376469.0,2.50267,34350000.0,24.578,3.792,1190825.0,137885.0
53,603869,北部湾旅,2.026,27.2,26.82,27.81,26.82,26.66,2467472.0,3.38599,67527431.0,40.0,2.644,948753.04896,198214.2336
54,603868,飞科电器,0.197,61.05,61.36,61.36,60.33,60.93,858427.0,1.9688700000000001,52247792.0,41.815,13.611,2659338.0,266178.0
55,603866,桃李面包,0.882,34.33,34.03,34.36,33.83,34.03,271842.0,0.46082000000000006,9274852.0,35.392,7.26,1545282.558,202516.82393
56,603861,白云电器,0.0,24.17,0.0,0.0,0.0,24.17,0.0,0.0,0.0,59.386,5.137,988794.7,292663.199104
