,code,name,p_change,price,change,open,high,low,preprice,pe,volratio,turnover,range,volume,selling,buying,amount,totals,industry,area,floats,fvalues,abvalues,avgprice,strength,activity,avgturnover,attack,interval3,interval6
0,601949,N出版,44.01,4.81,1.47,4.01,4.81,4.01,3.34,113.33,0.0,0.02,23.95,835,815,20,398437,182250.0,出版业,北京,36450.0,17.53,87.66,4.77,43.46,87,0.0003,19.95,19.95,19.95
1,002891,N中宠,43.98,22.26,6.8,18.55,22.26,18.55,15.46,25.91,0.0,0.06,24.0,148,112,35,325337,10000.0,饲料,山东,2500.0,5.57,22.26,22.04,43.27,19,0.0031,20.0,20.0,20.0
2,300692,N中环,43.96,12.64,3.86,10.54,12.64,10.54,8.78,35.91,0.0,0.03,23.92,87,72,15,109866,10667.0,环境保护,安徽,2667.0,3.37,13.48,12.59,43.25,16,0.002,19.92,19.92,19.92
3,600496,精工钢构,10.06,5.36,0.49,5.08,5.36,4.82,4.87,93.33,2.12,8.36,11.09,1262196,683106,579089,644780608,151044.52,钢加工,安徽,151044.52,80.96,80.96,5.11,9.51,4091,0.002,11.2,15.02,16.02
4,601326,秦港股份,10.05,4.49,0.41,4.49,4.49,4.49,4.08,20.33,2.41,0.05,0.0,2895,2688,206,1299743,558741.19,港口,河北,55800.0,25.05,213.61,4.49,9.49,220,0.0002,0.0,59.79,59.79
5,300224,正海磁材,10.05,11.83,1.08,11.83,11.83,11.83,10.75,0.0,0.3,0.89,0.0,65463,59613,5849,77442176,83511.63,元器件,山东,73514.9,86.97,98.79,11.83,9.33,1053,0.0008,0.0,20.35,0.25
6,601858,中国科传,10.04,12.38,1.13,11.31,12.38,11.21,11.25,144.77,4.74,15.33,10.4,200087,113066,87021,243342224,79050.0,出版业,北京,13050.0,16.16,97.86,12.16,9.49,2587,0.0059,10.44,-9.64,-27.56
7,300141,和顺电气,10.04,12.71,1.16,11.68,12.71,11.67,11.55,191.8,1.51,4.35,9.0,70890,38773,32117,87362400,25044.96,电气设备,江苏,16285.03,20.7,31.83,12.32,9.33,1064,0.0041,8.91,0.16,-18.47
8,600050,中国联通,10.04,8.22,0.75,8.22,8.22,8.22,7.47,111.91,0.14,0.1,0.0,218113,215137,2976,179289216,2119659.75,电信运营,上海,2119659.75,1742.36,1742.36,8.22,9.48,1745,0.0001,0.0,10.04,25.69
9,300353,东土科技,10.03,14.48,1.32,13.3,14.48,13.3,13.16,193.5,2.69,5.8,8.97,190102,119598,70503,271051872,51693.82,通信设备,北京,32774.69,47.46,74.85,14.26,9.32,2243,0.0026,8.87,9.04,-25.63
